"108144","xnet","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"X.Net License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/xnet.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"xnet\"}"
"108145","apache","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Apache Software License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"apache\"}"
"108146","pythonsoftfoundation","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Python Software Foundation License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/PythonSoftFoundation.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"pythonsoftfoundation\"}"
"108147","postgresql","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"The PostgreSQL License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/postgresql\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"postgresql\"}"
"108148","cc-by-sa","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Creative Commons Attribution Share-Alike\", \"domain_data\": false, \"is_okd_compliant\": true, \"domain_content\": true, \"url\": \"http://www.opendefinition.org/licenses/cc-by-sa\", \"is_osi_compliant\": false, \"domain_software\": false, \"id\": \"cc-by-sa\"}"
"108149","other-pd","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Other (Public Domain)\", \"domain_data\": false, \"is_okd_compliant\": true, \"is_generic\": true, \"url\": \"\", \"is_osi_compliant\": false, \"domain_content\": true, \"domain_software\": false, \"id\": \"other-pd\"}"
"108150","ca-tosl1.1","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Computer Associates Trusted Open Source License 1.1\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/ca-tosl1.1.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"ca-tosl1.1\"}"
"108151","rpl1.5","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Reciprocal Public License 1.5 (RPL1.5)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/rpl1.5.txt\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"rpl1.5\"}"
"108152","sleepycat","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Sleepycat License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/sleepycat.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"sleepycat\"}"
"108153","ms-pl","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Microsoft Public License (Ms-PL)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/ms-pl.html\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"ms-pl\"}"
"108154","nasa1.3","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"NASA Open Source Agreement 1.3\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/nasa1.3.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"nasa1.3\"}"
"108155","naumen","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Naumen Public License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/naumen.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"naumen\"}"
"108156","afl-3.0","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Academic Free License 3.0 (AFL 3.0)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/afl-3.0.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"afl-3.0\"}"
"108157","uk-ogl","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"UK Open Government Licence (OGL)\", \"domain_data\": true, \"is_okd_compliant\": false, \"domain_content\": true, \"url\": \"http://reference.data.gov.uk/id/open-government-licence\", \"is_osi_compliant\": false, \"domain_software\": false, \"id\": \"uk-ogl\"}"
"108158","cddl1","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Common Development and Distribution License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/cddl1.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"cddl1\"}"
"108159","w3c","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"W3C License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/W3C.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"w3c\"}"
"108160","zpl","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Zope Public License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/zpl.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"zpl\"}"
"108161","dli-model-use","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Statistics Canada: Data Liberation Initiative (DLI) - Model Data Use Licence\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"\", \"is_osi_compliant\": false, \"domain_software\": false, \"id\": \"dli-model-use\"}"
"108162","notspecified","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"License Not Specified\", \"domain_data\": false, \"is_okd_compliant\": false, \"is_generic\": true, \"url\": \"\", \"is_osi_compliant\": false, \"domain_content\": false, \"domain_software\": false, \"id\": \"notspecified\"}"
"108163","nosl3.0","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Non-Profit Open Software License 3.0 (Non-Profit OSL 3.0)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/NOSL3.0.html\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"nosl3.0\"}"
"108164","openfont","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Open Font License 1.1 (OFL 1.1)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/openfont.html\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"openfont\"}"
"108165","mozilla","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Mozilla Public License 1.0 (MPL)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"mozilla\"}"
"108166","zlib-license","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"zlib/libpng license\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/zlib-license.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"zlib-license\"}"
"108167","mitre","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"MITRE Collaborative Virtual Workspace License (CVW License)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"mitre\"}"
"108168","frameworx","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Frameworx License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/frameworx.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"frameworx\"}"
